date,corona,corona virus,country_code,country_name
2/1/2020,8,11,AFG,Afghanistan
2/2/2020,9,13,AFG,Afghanistan
2/3/2020,3,8,AFG,Afghanistan
2/4/2020,5,7,AFG,Afghanistan
2/5/2020,3,10,AFG,Afghanistan
2/6/2020,3,6,AFG,Afghanistan
2/7/2020,5,5,AFG,Afghanistan
2/8/2020,3,7,AFG,Afghanistan
2/9/2020,0,4,AFG,Afghanistan
2/10/2020,0,8,AFG,Afghanistan
2/11/2020,3,7,AFG,Afghanistan
2/12/2020,0,4,AFG,Afghanistan
2/13/2020,4,7,AFG,Afghanistan
2/14/2020,0,3,AFG,Afghanistan
2/15/2020,3,6,AFG,Afghanistan
2/16/2020,3,7,AFG,Afghanistan
2/17/2020,3,6,AFG,Afghanistan
2/18/2020,3,8,AFG,Afghanistan
2/19/2020,3,4,AFG,Afghanistan
2/20/2020,3,6,AFG,Afghanistan
2/21/2020,4,6,AFG,Afghanistan
2/22/2020,7,12,AFG,Afghanistan
2/23/2020,12,15,AFG,Afghanistan
2/24/2020,13,21,AFG,Afghanistan
2/25/2020,19,30,AFG,Afghanistan
2/26/2020,13,12,AFG,Afghanistan
2/27/2020,11,19,AFG,Afghanistan
2/28/2020,11,17,AFG,Afghanistan
2/29/2020,7,15,AFG,Afghanistan
3/1/2020,9,11,AFG,Afghanistan
3/2/2020,7,15,AFG,Afghanistan
3/3/2020,9,12,AFG,Afghanistan
3/4/2020,7,10,AFG,Afghanistan
3/5/2020,7,10,AFG,Afghanistan
3/6/2020,6,15,AFG,Afghanistan
3/7/2020,9,13,AFG,Afghanistan
3/8/2020,5,13,AFG,Afghanistan
3/9/2020,6,21,AFG,Afghanistan
3/10/2020,7,20,AFG,Afghanistan
3/11/2020,11,19,AFG,Afghanistan
3/12/2020,23,43,AFG,Afghanistan
3/13/2020,22,44,AFG,Afghanistan
3/14/2020,26,41,AFG,Afghanistan
3/15/2020,36,63,AFG,Afghanistan
3/16/2020,31,61,AFG,Afghanistan
3/17/2020,17,50,AFG,Afghanistan
3/18/2020,14,53,AFG,Afghanistan
3/19/2020,9,34,AFG,Afghanistan
3/20/2020,21,36,AFG,Afghanistan
3/21/2020,19,43,AFG,Afghanistan
3/22/2020,29,63,AFG,Afghanistan
3/23/2020,30,63,AFG,Afghanistan
3/24/2020,19,55,AFG,Afghanistan
3/25/2020,31,53,AFG,Afghanistan
3/26/2020,20,59,AFG,Afghanistan
3/27/2020,29,65,AFG,Afghanistan
3/28/2020,43,96,AFG,Afghanistan
3/29/2020,40,82,AFG,Afghanistan
3/30/2020,33,87,AFG,Afghanistan
3/31/2020,23,81,AFG,Afghanistan
4/1/2020,29,63,AFG,Afghanistan
4/2/2020,27,86,AFG,Afghanistan
4/3/2020,21,100,AFG,Afghanistan
4/4/2020,20,82,AFG,Afghanistan
4/5/2020,22,83,AFG,Afghanistan
4/6/2020,20,81,AFG,Afghanistan
4/7/2020,35,76,AFG,Afghanistan
4/8/2020,23,61,AFG,Afghanistan
4/9/2020,26,72,AFG,Afghanistan
4/10/2020,25,67,AFG,Afghanistan
4/11/2020,25,84,AFG,Afghanistan
4/12/2020,22,54,AFG,Afghanistan
4/13/2020,26,67,AFG,Afghanistan
4/14/2020,18,59,AFG,Afghanistan
4/15/2020,26,57,AFG,Afghanistan
4/16/2020,20,57,AFG,Afghanistan
4/17/2020,33,81,AFG,Afghanistan
4/18/2020,22,66,AFG,Afghanistan
4/19/2020,18,65,AFG,Afghanistan
4/20/2020,16,70,AFG,Afghanistan
4/21/2020,22,58,AFG,Afghanistan
4/22/2020,21,48,AFG,Afghanistan
4/23/2020,19,48,AFG,Afghanistan
4/24/2020,23,64,AFG,Afghanistan
4/25/2020,30,57,AFG,Afghanistan
4/26/2020,32,62,AFG,Afghanistan
4/27/2020,16,61,AFG,Afghanistan
4/28/2020,9,57,AFG,Afghanistan
4/29/2020,16,52,AFG,Afghanistan
4/30/2020,22,35,AFG,Afghanistan
5/1/2020,21,53,AFG,Afghanistan
5/2/2020,18,44,AFG,Afghanistan
5/3/2020,26,56,AFG,Afghanistan
5/4/2020,14,54,AFG,Afghanistan
5/5/2020,13,45,AFG,Afghanistan
5/6/2020,14,41,AFG,Afghanistan
5/7/2020,29,46,AFG,Afghanistan
5/8/2020,13,40,AFG,Afghanistan
5/9/2020,10,34,AFG,Afghanistan
5/10/2020,15,39,AFG,Afghanistan
5/11/2020,13,34,AFG,Afghanistan
5/12/2020,9,33,AFG,Afghanistan
5/13/2020,14,36,AFG,Afghanistan
5/14/2020,9,17,AFG,Afghanistan
5/15/2020,7,21,AFG,Afghanistan
5/16/2020,15,34,AFG,Afghanistan
5/17/2020,13,32,AFG,Afghanistan
5/18/2020,11,29,AFG,Afghanistan
5/19/2020,11,28,AFG,Afghanistan
5/20/2020,9,22,AFG,Afghanistan
5/21/2020,12,30,AFG,Afghanistan
5/22/2020,7,31,AFG,Afghanistan
5/23/2020,9,19,AFG,Afghanistan
5/24/2020,13,19,AFG,Afghanistan
5/25/2020,13,19,AFG,Afghanistan
5/26/2020,12,23,AFG,Afghanistan
5/27/2020,7,23,AFG,Afghanistan
5/28/2020,10,19,AFG,Afghanistan
5/29/2020,15,20,AFG,Afghanistan
5/30/2020,20,21,AFG,Afghanistan
5/31/2020,17,19,AFG,Afghanistan
6/1/2020,15,24,AFG,Afghanistan
6/2/2020,17,17,AFG,Afghanistan
6/3/2020,7,32,AFG,Afghanistan
6/4/2020,13,24,AFG,Afghanistan
6/5/2020,9,18,AFG,Afghanistan
6/6/2020,9,21,AFG,Afghanistan
6/7/2020,15,22,AFG,Afghanistan
6/8/2020,11,20,AFG,Afghanistan
6/9/2020,9,21,AFG,Afghanistan
6/10/2020,14,13,AFG,Afghanistan
6/11/2020,8,23,AFG,Afghanistan
6/12/2020,5,16,AFG,Afghanistan
6/13/2020,7,15,AFG,Afghanistan
6/14/2020,10,13,AFG,Afghanistan
6/15/2020,9,15,AFG,Afghanistan
6/16/2020,5,22,AFG,Afghanistan
6/17/2020,5,25,AFG,Afghanistan
6/18/2020,10,10,AFG,Afghanistan
6/19/2020,10,17,AFG,Afghanistan
6/20/2020,4,17,AFG,Afghanistan
6/21/2020,4,12,AFG,Afghanistan
6/22/2020,6,21,AFG,Afghanistan
6/23/2020,10,12,AFG,Afghanistan
6/24/2020,6,12,AFG,Afghanistan
6/25/2020,4,15,AFG,Afghanistan
6/26/2020,4,14,AFG,Afghanistan
6/27/2020,9,17,AFG,Afghanistan
6/28/2020,6,13,AFG,Afghanistan
6/29/2020,6,8,AFG,Afghanistan
6/30/2020,5,10,AFG,Afghanistan
7/1/2020,4,10,AFG,Afghanistan
7/2/2020,4,11,AFG,Afghanistan
7/3/2020,5,13,AFG,Afghanistan
7/4/2020,5,10,AFG,Afghanistan
7/5/2020,10,8,AFG,Afghanistan
7/6/2020,6,14,AFG,Afghanistan
7/7/2020,6,10,AFG,Afghanistan
7/8/2020,4,14,AFG,Afghanistan
7/9/2020,7,15,AFG,Afghanistan
7/10/2020,5,5,AFG,Afghanistan
7/11/2020,5,10,AFG,Afghanistan
7/12/2020,6,10,AFG,Afghanistan
7/13/2020,7,14,AFG,Afghanistan
7/14/2020,5,10,AFG,Afghanistan
7/15/2020,4,9,AFG,Afghanistan
7/16/2020,4,7,AFG,Afghanistan
7/17/2020,10,13,AFG,Afghanistan
7/18/2020,5,13,AFG,Afghanistan
7/19/2020,3,10,AFG,Afghanistan
7/20/2020,6,5,AFG,Afghanistan
7/21/2020,3,8,AFG,Afghanistan
7/22/2020,9,9,AFG,Afghanistan
7/23/2020,9,11,AFG,Afghanistan
7/24/2020,7,10,AFG,Afghanistan
7/25/2020,6,10,AFG,Afghanistan
7/26/2020,4,6,AFG,Afghanistan
7/27/2020,6,9,AFG,Afghanistan
7/28/2020,5,12,AFG,Afghanistan
7/29/2020,3,10,AFG,Afghanistan
7/30/2020,7,5,AFG,Afghanistan
7/31/2020,5,4,AFG,Afghanistan
8/1/2020,4,7,AFG,Afghanistan
8/2/2020,3,19,AFG,Afghanistan
8/3/2020,3,10,AFG,Afghanistan
8/4/2020,6,11,AFG,Afghanistan
8/5/2020,6,10,AFG,Afghanistan
8/6/2020,4,6,AFG,Afghanistan
8/7/2020,7,11,AFG,Afghanistan
8/8/2020,4,10,AFG,Afghanistan
8/9/2020,3,9,AFG,Afghanistan
8/10/2020,5,9,AFG,Afghanistan
8/11/2020,4,7,AFG,Afghanistan
8/12/2020,3,6,AFG,Afghanistan
8/13/2020,7,7,AFG,Afghanistan
8/14/2020,8,6,AFG,Afghanistan
8/15/2020,4,14,AFG,Afghanistan
8/16/2020,3,8,AFG,Afghanistan
8/17/2020,8,6,AFG,Afghanistan
8/18/2020,3,10,AFG,Afghanistan
8/19/2020,4,4,AFG,Afghanistan
8/20/2020,3,7,AFG,Afghanistan
8/21/2020,6,5,AFG,Afghanistan
8/22/2020,3,7,AFG,Afghanistan
8/23/2020,3,7,AFG,Afghanistan
